date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:53:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2010:53:00%20GMT	http://prod-rnd-frontend-php.100hp.app/robots.txt		(from )
12:53:01	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2015%20Nov%202024%2010:53:01%20GMT	http://prod-rnd-frontend-php.100hp.app/mines/?exitUrl=https%253A%252F%252F1win.com%252Fcasino&language=en&b=demo	C:/My%20Web%20Sites/1win/prod-rnd-frontend-php.100hp.app/s8jsk3h4.html	(from )
12:53:02	702/702	U-----	200	untouched ('OK')	text/html	date:Tue,%2024%20Sep%202024%2008:23:59%20GMT	https://prod-rnd-frontend-php.100hp.app/mines/?exitUrl=https%253A%252F%252F1win.com%252Fcasino%26language=en%26b=demo	C:/My%20Web%20Sites/1win/prod-rnd-frontend-php.100hp.app/m_t21j04.html	(from http://prod-rnd-frontend-php.100hp.app/mines/?exitUrl=https%253A%252F%252F1win.com%252Fcasino&language=en&b=demo)
12:53:02	85/85	U--MCZ	200	updated ('OK')	text/plain	etag:W/%2266f27720-37%22	https://prod-rnd-frontend-php.100hp.app/robots.txt		(from http://prod-rnd-frontend-php.100hp.app/mines/?exitUrl=https%253A%252F%252F1win.com%252Fcasino&language=en&b=demo)
12:53:38	289/289	U-----	200	untouched ('')	application/json	etag:W/%2266f2771f-95%22	https://prod-rnd-frontend-php.100hp.app/manifest.json	C:/My%20Web%20Sites/1win/prod-rnd-frontend-php.100hp.app/6wa68sh7.json	(from https://prod-rnd-frontend-php.100hp.app/mines/?exitUrl=https%253A%252F%252F1win.com%252Fcasino%26language=en%26b=demo)
12:53:42	1026/1026	U-----	200	untouched ('OK')	image/svg+xml	etag:W/%226731bfff-1b6%22	https://prod-rnd-frontend-php.100hp.app/favicon.svg	C:/My%20Web%20Sites/1win/prod-rnd-frontend-php.100hp.app/bvuagmki.svg	(from https://prod-rnd-frontend-php.100hp.app/mines/?exitUrl=https%253A%252F%252F1win.com%252Fcasino%26language=en%26b=demo)
12:53:42	470842/470842	U-----	200	untouched ('')	application/javascript	etag:W/%2266f27722-1d885%22	https://prod-rnd-frontend-php.100hp.app/static/js/main.4cb48290bcd4e9a02429.js	C:/My%20Web%20Sites/1win/prod-rnd-frontend-php.100hp.app/kxe1oze7.js	(from https://prod-rnd-frontend-php.100hp.app/mines/?exitUrl=https%253A%252F%252F1win.com%252Fcasino%26language=en%26b=demo)
12:53:42	8074/8074	U-----	200	untouched ('')	application/javascript	etag:W/%2266f27726-c7b%22	https://prod-rnd-frontend-php.100hp.app/static/js/runtime.22af2a51cfdb2a24933e.js	C:/My%20Web%20Sites/1win/prod-rnd-frontend-php.100hp.app/vwin1xym.js	(from https://prod-rnd-frontend-php.100hp.app/mines/?exitUrl=https%253A%252F%252F1win.com%252Fcasino%26language=en%26b=demo)
12:53:42	191764/191764	U-----	200	untouched ('OK')	text/css	etag:W/%2266f27721-4e0d%22	https://prod-rnd-frontend-php.100hp.app/static/css/main.4a7afb73.css	C:/My%20Web%20Sites/1win/prod-rnd-frontend-php.100hp.app/aqrsejiu.css	(from https://prod-rnd-frontend-php.100hp.app/mines/?exitUrl=https%253A%252F%252F1win.com%252Fcasino%26language=en%26b=demo)
12:53:43	251116/251116	U-----	200	untouched ('')	image/png	etag:%2266f27725-5cd84%22	https://prod-rnd-frontend-php.100hp.app/static/media/background.73ba94b4bcc4f49240cc.png	C:/My%20Web%20Sites/1win/prod-rnd-frontend-php.100hp.app/6yin6vz2.png	(from https://prod-rnd-frontend-php.100hp.app/static/css/main.4a7afb73.css)
12:53:43	91287/91287	U-----	200	untouched ('')	image/png	etag:%2266f27725-21c91%22	https://prod-rnd-frontend-php.100hp.app/static/media/backgroundPhone.22ee95b37f8094fe25be.png	C:/My%20Web%20Sites/1win/prod-rnd-frontend-php.100hp.app/0rwv_0dd.png	(from https://prod-rnd-frontend-php.100hp.app/static/css/main.4a7afb73.css)
